encounter_type,service_date,national_id,member_id,facility_id,unique_id,diagnosis_codes,approval_number,service_code,paid_amount_aed
INPATIENT,05/03/24,J45NUMBE,UZF615NA,0DBYE6KP,j45nf615e6kp,E66.9,NA,SRV1003,559.91
INPATIENT,01/13/25,SYWX6RYN,B1G36XGM,OCQUMGDW,SYWX-G36X-MGDW,E66.3;R07.9,Obtain approval,SRV2001,1077.6
OUTPATIENT,08/25/25,ZT9FTNQA,QA2Y8WAW,SZC62NTW,ZT9F-2Y8W-2NTW,E66.3;E66.9;R07.9,NA,SRV2001,357.29
INPATIENT,07/03/25,5FY03W1N,L61K4NTM,EGVP0QAQ,5FY0-1K4N-0QAQ,E66.3,NA,SRV1003,805.73
OUTPATIENT,09/12/25,A1B2C3D4,EFGH5678,OCQUMGDW,A1B2-GH56-MGDW,E88.9,APP001,SRV2002,95.5
INPATIENT,09/11/25,SESTN6MJ,SHLO7CHH,96GUDLMT,sestlo7cdlmt,R73.03;E11.9,Obtain approval,SRV1002,232.74
INPATIENT,06/13/23,47VA2V8M,VYMQ84LH,Q3G9N34N,47VA-MQ84-N34N,R07.9,NA,SRV1002,468.88
OUTPATIENT,01/13/23,VKQ1ZIQ4,UM8QU7MB,EPRETQTL,VKQ1-8QU7-TQTL,E66.9;J45.909,NA,SRV1002,685.74
OUTPATIENT,08/17/25,1KU9LNYC,JGOPVRFB,S174K5QK,1KU9-OPVR-K5QK,R73.03,Obtain approval,SRV2002,533.86
INPATIENT,11/13/24,2QCPXSFE,799IHOAO,EGVP0QAQ,2qcp9iho0qaq,R07.9,NA,SRV2004,376.9
INPATIENT,08/08/24,HXPUO9RB,F06EQ5TA,9V7HTI6E,hxpu6eq5ti6e,R07.9,NA,SRV2004,821.41
INPATIENT,03/28/23,F2LDHPHO,CEZEBP3H,I2MFYKYM,f2ldzebpykym,G43.9,Obtain approval,SRV2004,898.36
INPATIENT,09/26/23,2V144JP9,NW45VMYA,0DBYE6KP,2V14-45VM-E6KP,R07.9,Obtain approval,SRV1003,623.37
OUTPATIENT,11/22/23,G0PRXTTN,JB6WFGGE,ZDE6M6NJ,G0PR-6WFG-M6NJ,E66.9,Obtain approval,SRV2010,609.03
OUTPATIENT,08/02/25,T5T6T7T8,JKLM1234,GY0GUI8G,T5T6-LM12-UI8G,E66.3,APP002,SRV2003,226.7
INPATIENT,05/26/25,59L8A4W7,PN767G6N,OIAP2DTP,59L8-767G-2DTP,R07.9,Obtain approval,SRV2001,163.62
OUTPATIENT,05/10/25,TX9XL5HH,BC28GBI3,Q8OZ5Z7C,TX9X-28GB-5Z7C,R73.03,Obtain approval,SRV1001,530.53
INPATIENT,03/28/25,S9BO0RNX,XOPYDHXX,SZC62NTW,S9BO-PYDH-2NTW,Z34.0,Obtain approval,SRV1003,189.79
INPATIENT,08/21/23,W3RN3QXK,TUV2MGNV,ZDE6M6NJ,w3rnv2mgm6nj,Z34.0,NA,SRV1002,766.04
OUTPATIENT,07/14/25,WXYZ9988,QRST8765,Q8OZ5Z7C,WXYZ-ST87-5Z7C,R51,APP003,SRV2004,105.2
OUTPATIENT,06/11/25,WO618MRI,04YZF7F3,GY0GUI8G,WO61-YZF7-UI8G,R07.9;Z34.0,Obtain approval,SRV2008,755.23
OUTPATIENT,04/03/24,05OBPODL,QEZMLIZZ,7R1VMIGX,05OB-ZMLI-MIGX,R73.03;E11.9,Obtain approval,SRV1002,520
OUTPATIENT,09/10/25,CHBU9ARP,ZCGMLORO,M7DJYNG5,CHBU-GMLO-YNG5,Z34.0;E11.9,Obtain approval,SRV2007,741.55
INPATIENT,01/04/24,8O30NCVE,PSBHKZFV,MT5W4HIR,8O30-BHKZ-4HIR,R73.03;E11.9,Obtain approval,SRV1002,992.4
INPATIENT,08/26/24,P6COQD54,NUTICZ2P,VV1GS6P0,P6CO-TICZ-S6P0,R73.03;E11.9,Obtain approval,SRV2008,477.87
INPATIENT,06/23/25,E82OFJI3,KVB571WA,FLXFBIMD,e82ob571bimd,R51,NA,SRV2004,268.6
INPATIENT,07/05/23,YG1U08WL,PV6FI02S,9V7HTI6E,YG1U-6FI0-TI6E,R73.03;E11.9,Obtain approval,SRV1002,273.67
INPATIENT,09/21/23,2PZ52JKI,FHGX6OKR,EGVP0QAQ,2PZ5-GX6O-0QAQ,Z34.0,Obtain approval,SRV1001,896.1
